取得時刻UTC,基軸資産照会,基軸資産アドレス,DEX,プールアドレス（pairAddress）,DEX Screener URL,ベースシンボル,ベース名称,ベースコントラクト,クオートシンボル,クオート名称,クオートコントラクト,流動性USD（API時点）,24時間出来高USD（API時点）,24時間買い件数（API時点）,24時間売り件数（API時点）,同一pairAddressで重複したAPI行数
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x00dd2df2f17d431cf3a0938f06c9cf9abc5e9643b6cc466ca3f71f3af246edf3,https://dexscreener.com/robinhood/0x00dd2df2f17d431cf3a0938f06c9cf9abc5e9643b6cc466ca3f71f3af246edf3,Index,The Index,0x56910d4409f3a0c78c64dd8d0545ff0705389870,ETH,Ether,0x0000000000000000000000000000000000000000,999522.76,293591.96,402,215,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,uniswap,0x10cc6bd38112cac182db90b6a71d8bb5939526ba,https://dexscreener.com/robinhood/0x10cc6bd38112cac182db90b6a71d8bb5939526ba,PONS,Pons,0x39dbed3a2bd333467115de45665cc57f813c4571,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,8735841.81,10683736.58,7981,5306,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,parity,0x12eee2faf5d447203fe371e564bd884d8aa3a679,https://dexscreener.com/robinhood/0x12eee2faf5d447203fe371e564bd884d8aa3a679,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,293.14,1.16,17,6,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x14f8cf472104b8823340025c004d022de12ab0e4d7e8112a6dc73c1979e044ad,https://dexscreener.com/robinhood/0x14f8cf472104b8823340025c004d022de12ab0e4d7e8112a6dc73c1979e044ad,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,109366.76,394790.51,2327,2257,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,up,0x16679e2ac1a798865ecf1c1639e67693ddb1c220,https://dexscreener.com/robinhood/0x16679e2ac1a798865ecf1c1639e67693ddb1c220,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,425778.83,35247604.56,62824,57578,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x1aaf1fc2dc0b74175800920425642a857f029e13398565b370ab40d1cf485e3d,https://dexscreener.com/robinhood/0x1aaf1fc2dc0b74175800920425642a857f029e13398565b370ab40d1cf485e3d,Onboard,Onboard,0x1a3876a32619cf2668e91ebcd90a596537ec8695,ETH,Ether,0x0000000000000000000000000000000000000000,26249.82,2701714.58,11899,10047,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x1f54973df575f2dcf77c2993625be999738d794314569f2c97d54520437ea2ce,https://dexscreener.com/robinhood/0x1f54973df575f2dcf77c2993625be999738d794314569f2c97d54520437ea2ce,GRACE,Grace,0xce221b17b872a5782be1b29305494a53e4985c9c,ETH,Ether,0x0000000000000000000000000000000000000000,28866.89,4430994.44,10957,8912,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,robinswap,0x216a13f93031ae9e15305b038d5c9dc5f46cf418,https://dexscreener.com/robinhood/0x216a13f93031ae9e15305b038d5c9dc5f46cf418,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1119.99,0.13,11,3,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x2180843805e49f2ad9ec44a88229e3b37ad825ca537cc3bdcae20485cada59e4,https://dexscreener.com/robinhood/0x2180843805e49f2ad9ec44a88229e3b37ad825ca537cc3bdcae20485cada59e4,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,ETH,Ether,0x0000000000000000000000000000000000000000,17539.68,1651325.85,12036,14043,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x22d3702ed023ea852d47260bb4945a90d354fbe4cd70199893b18d7cd32bdc33,https://dexscreener.com/robinhood/0x22d3702ed023ea852d47260bb4945a90d354fbe4cd70199893b18d7cd32bdc33,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,184689.86,42475.6,9,19,1
