rank_by_swap_count,selected_for_next_scatterplot,pool_id,swap_events_150_minutes,swap_share_of_all_40_usdg_pools,initialize_block,initialize_transaction_hash,initialize_transaction_url,currency0,currency1,fami_currency_position,counterpart_symbol,ranking_definition
1,yes,0x4b5c32e853e378166a1d73f04aafacdc376b437b6c6316376a8b2732258c3c2b,116147,0.987459828943565,52055533,baea76bebcd7e5b4b422f61b216239ada825078af298f1ad4dfa4ad52fc2aa85,https://robinhoodchain.blockscout.com/tx/0xbaea76bebcd7e5b4b422f61b216239ada825078af298f1ad4dfa4ad52fc2aa85,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
2,yes,0xdb61183b9a0ef0ead330e217894da2a091ef669c5e5819e15ea9caf58ee50aad,504,0.004284912686402203,52658960,f5ad6604494615779fd52ca3c73873d06938212255cf53fc809ddcac741b13cc,https://robinhoodchain.blockscout.com/tx/0xf5ad6604494615779fd52ca3c73873d06938212255cf53fc809ddcac741b13cc,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
3,yes,0xf0efab34c8a3ae2981b1b2d5b435006db3e7b061e31439f3121c911300dfc519,217,0.0018448929622009488,52628226,48bf3642c2e86bbcd227f02c4ce280bfd02e47d6b03fe883160c4a0ec95fbd84,https://robinhoodchain.blockscout.com/tx/0x48bf3642c2e86bbcd227f02c4ce280bfd02e47d6b03fe883160c4a0ec95fbd84,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
4,no,0xd4ea8ce230699c11fbb4286c54368631e8e9cde2e984042632eb9350e8bec479,199,0.001691860366258013,52651794,e49d44eed5ea4bee993c6325fc795d9c315a57cda80b734c063d8ac252bbead0,https://robinhoodchain.blockscout.com/tx/0xe49d44eed5ea4bee993c6325fc795d9c315a57cda80b734c063d8ac252bbead0,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
5,no,0xba88362a98136ff03eaf1ef1d2d4634fd99eb79f5ae33796d4b592ebdf55f46e,184,0.001564333202972233,52673239,49b1f6ea08896e2ffa6c41d7eaa803432a5061874f8ef5d3bd1eead13e6897ca,https://robinhoodchain.blockscout.com/tx/0x49b1f6ea08896e2ffa6c41d7eaa803432a5061874f8ef5d3bd1eead13e6897ca,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
6,no,0x34ff73d0da8c78777f9940ffa52d30139c746c128506864c10b8c5c23aa5ad00,129,0.001096733604257707,52661772,0ad1ad62e1ebea580f4e63dbce5dee060e5e9d301d02ae93988ebbd49d1c9b7a,https://robinhoodchain.blockscout.com/tx/0x0ad1ad62e1ebea580f4e63dbce5dee060e5e9d301d02ae93988ebbd49d1c9b7a,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
7,no,0xd229b26f5eeb339142e617aff05abbc982cae1a6fb6576a330d56d687dafa700,70,0.000595126762000306,52667406,7aa850de80fd3a3701915b3dc4bbdbf712148332d3c12146f08c84198bd627ec,https://robinhoodchain.blockscout.com/tx/0x7aa850de80fd3a3701915b3dc4bbdbf712148332d3c12146f08c84198bd627ec,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
8,no,0xbf9ba6ee845f782c2795df71ca98d62bdeff45fe3133bcaedf0ca98d181d1e68,40,0.0003400724354287463,52661079,c74eec1c5139e34957784758e44b669b39194704ca789c404e27c10a9718b626,https://robinhoodchain.blockscout.com/tx/0xc74eec1c5139e34957784758e44b669b39194704ca789c404e27c10a9718b626,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
9,no,0x7a355d71bebaa851a36e9a9f08ede926b2918d3fd330b787d22238ae75bc8196,33,0.0002805597592287157,52661657,8e0ee9b8996b82b44dee4b8de14b9edaad9ab9b670e85679db64aee3f7dface9,https://robinhoodchain.blockscout.com/tx/0x8e0ee9b8996b82b44dee4b8de14b9edaad9ab9b670e85679db64aee3f7dface9,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
10,no,0x94a52b1c8c4d3e05b9e4f8b5e540ad5f6028ab035bb8ffa4bffea36160ffe902,29,0.00024655251568584107,52660638,6f321b73f51583b72f040139f4b3c42c7d3f535c44fe30c0e103431fb7cd2152,https://robinhoodchain.blockscout.com/tx/0x6f321b73f51583b72f040139f4b3c42c7d3f535c44fe30c0e103431fb7cd2152,0x5D2e81cB3A6FECe856B824Dfd7e1d6D3dbaD8cd9,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,currency0,USDG,指定150分にPoolManagerが発したSwapイベントの件数。出来高・TVL・価格品質ではない。
