現物株ティッカー,公式トークン名,RHJ公式コントラクトアドレス,コントラクト確認URL（Blockscout）,トークン小数桁,ERC-20 totalSupply（トークン単位）,総供給量取得状態,総供給量取得時刻（UTC）,Yahoo Financeティッカー,現物株発行済株式数（取得時点）,単位数比（小数：totalSupply÷発行済株式数）,単位数比（%：totalSupply÷発行済株式数）,現物株株価USD（取得時点）,現物株時価総額USD（取得時点）,Yahoo Finance quoteType,現物株確認URL（Yahoo Finance）,市場データ取得状態,市場データ取得時刻（UTC）,分析対象区分,比率の定義
AAOI,Applied Optoelectronics • Robinhood Token,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,https://robinhoodchain.blockscout.com/token/0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,18,665.035,ok,2026-09-06T00:50:05.262573+00:00,AAOI,84906289,0.00000783257645378895313632185714770786884820746317154433636829894,0.000783257645378895313632185714770786884820746317154433636829894,105.53,8960160768,EQUITY,https://finance.yahoo.com/quote/AAOI/,ok,2026-09-06T01:03:51.563407+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AAPL,Apple • Robinhood Token,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,https://robinhoodchain.blockscout.com/token/0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,18,17631.42312292,ok,2026-09-06T00:50:06.284457+00:00,AAPL,14594180000,0.00000120811331112265300277233801419469953090889656013561570434242,0.000120811331112265300277233801419469953090889656013561570434242,319.97,4669700046848,EQUITY,https://finance.yahoo.com/quote/AAPL/,ok,2026-09-06T01:03:53.333842+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
ABCL,Abcellera Biologics • Robinhood Token,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,https://robinhoodchain.blockscout.com/token/0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,18,2642.712,ok,2026-09-06T00:50:07.228006+00:00,ABCL,324047363,0.00000815532635579571125841872689456201499778907319792014477834217,0.000815532635579571125841872689456201499778907319792014477834217,11.43,3703861504,EQUITY,https://finance.yahoo.com/quote/ABCL/,ok,2026-09-06T01:03:54.800912+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
ADBE,Adobe • Robinhood Token,0x232b8ed6377be97813853b0ac104c4cda8378d1b,https://robinhoodchain.blockscout.com/token/0x232b8ed6377be97813853b0ac104c4cda8378d1b,18,591.281,ok,2026-09-06T00:50:08.176565+00:00,ADBE,397500000,0.00000148749937106918238993710691823899371069182389937106918238994,0.000148749937106918238993710691823899371069182389937106918238994,266.51,105937731584,EQUITY,https://finance.yahoo.com/quote/ADBE/,ok,2026-09-06T01:03:56.363968+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AEHR,Aehr • Robinhood Token,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,https://robinhoodchain.blockscout.com/token/0x5f604fba1162193a4388a5dfa56f556f3e133cc2,18,156.148,ok,2026-09-06T00:50:09.129827+00:00,AEHR,32620450,0.00000478681318007568871674057224839019694700716881588083548816770,0.000478681318007568871674057224839019694700716881588083548816770,86.26,2813840128,EQUITY,https://finance.yahoo.com/quote/AEHR/,ok,2026-09-06T01:03:57.942912+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AEIS,Advanced Energy • Robinhood Token,0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,https://robinhoodchain.blockscout.com/token/0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,18,104.674,ok,2026-09-06T00:50:10.158041+00:00,AEIS,40050442,0.00000261355417750445800323502047742694075635919323936549813857235,0.000261355417750445800323502047742694075635919323936549813857235,280.9,11250168832,EQUITY,https://finance.yahoo.com/quote/AEIS/,ok,2026-09-06T01:03:59.495262+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
ALAB,"Astera Labs, Inc. • Robinhood Token",0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,https://robinhoodchain.blockscout.com/token/0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,18,142.97,ok,2026-09-06T00:50:11.083544+00:00,ALAB,173485104,0.000000824105336444332419456600723483440976004487393914811268176661,0.0000824105336444332419456600723483440976004487393914811268176661,310.4,53849776128,EQUITY,https://finance.yahoo.com/quote/ALAB/,ok,2026-09-06T01:04:00.965839+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AMAT,Applied Materials • Robinhood Token,0x36046893810a7e7fce501229d57dc3fc8c8716d0,https://robinhoodchain.blockscout.com/token/0x36046893810a7e7fce501229d57dc3fc8c8716d0,18,180.025,ok,2026-09-06T00:50:12.045868+00:00,AMAT,793597443,0.000000226846749051332313831560568674866559518387964362430537720369,0.0000226846749051332313831560568674866559518387964362430537720369,454.71,360856682496,EQUITY,https://finance.yahoo.com/quote/AMAT/,ok,2026-09-06T01:04:02.494049+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AMBA,Ambarella • Robinhood Token,0x99d9d8663545151603863c5acbd6fc3218899009,https://robinhoodchain.blockscout.com/token/0x99d9d8663545151603863c5acbd6fc3218899009,18,490.651,ok,2026-09-06T00:50:12.977788+00:00,AMBA,44140971,0.0000111155461441933391089199193194005632544875372134428125742861,0.00111155461441933391089199193194005632544875372134428125742861,62.89,2776025600,EQUITY,https://finance.yahoo.com/quote/AMBA/,ok,2026-09-06T01:04:04.067632+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AMC,AMC Entertainment • Robinhood Token,0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,https://robinhoodchain.blockscout.com/token/0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,18,2895757.579,ok,2026-09-06T00:50:13.917303+00:00,AMC,892604638,0.00324416595626069332613080148481146475960838554370137610689852,0.324416595626069332613080148481146475960838554370137610689852,2.65,2365402368,EQUITY,https://finance.yahoo.com/quote/AMC/,ok,2026-09-06T01:04:05.680959+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AMD,AMD • Robinhood Token,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,https://robinhoodchain.blockscout.com/token/0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,18,4058.232,ok,2026-09-06T00:50:14.880262+00:00,AMD,1632475042,0.00000248593815867967186967872798878599946154643876019514667716433,0.000248593815867967186967872798878599946154643876019514667716433,477.57,779621105664,EQUITY,https://finance.yahoo.com/quote/AMD/,ok,2026-09-06T01:04:07.213865+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AMKR,Amkor Technology • Robinhood Token,0xdd356aa38f40a7b7076755ac854b6fbb1f0d305b,https://robinhoodchain.blockscout.com/token/0xdd356aa38f40a7b7076755ac854b6fbb1f0d305b,18,413.668,ok,2026-09-06T00:50:15.912696+00:00,AMKR,248452472,0.00000166497840279085651440006602148035782071027250636491956497821,0.000166497840279085651440006602148035782071027250636491956497821,47.77,11868574720,EQUITY,https://finance.yahoo.com/quote/AMKR/,ok,2026-09-06T01:04:08.684861+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AMZN,Amazon • Robinhood Token,0x12f190a9f9d7d37a250758b26824b97ce941bf54,https://robinhoodchain.blockscout.com/token/0x12f190a9f9d7d37a250758b26824b97ce941bf54,18,9849.261,ok,2026-09-06T00:50:16.947584+00:00,AMZN,10786313572,0.000000913125780578781044916575507100416049354586666377697998561394,0.0000913125780578781044916575507100416049354586666377697998561394,258.51,2788369891328,EQUITY,https://finance.yahoo.com/quote/AMZN/,ok,2026-09-06T01:04:10.357591+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
ANET,Arista • Robinhood Token,0x28babd556b60e53663b8615036479a29c2cdd1bf,https://robinhoodchain.blockscout.com/token/0x28babd556b60e53663b8615036479a29c2cdd1bf,18,136.787,ok,2026-09-06T00:50:17.882818+00:00,ANET,1261224648,0.000000108455698369764178601748988337246640933075072601974711804078,0.0000108455698369764178601748988337246640933075072601974711804078,193.78,244400128000,EQUITY,https://finance.yahoo.com/quote/ANET/,ok,2026-09-06T01:04:11.825567+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
APLD,Applied Digital • Robinhood Token,0xb8dbf92f9741c9ac1c32115e78581f23509916fd,https://robinhoodchain.blockscout.com/token/0xb8dbf92f9741c9ac1c32115e78581f23509916fd,18,1660.08,ok,2026-09-06T00:50:18.855590+00:00,APLD,287883603,0.00000576649723256381503603732512684996512288336199543813546060142,0.000576649723256381503603732512684996512288336199543813546060142,26.37,7497091584,EQUITY,https://finance.yahoo.com/quote/APLD/,ok,2026-09-06T01:04:13.329725+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
APP,AppLovin • Robinhood Token,0xa249baf1063af884807c1e1400aef7784836917e,https://robinhoodchain.blockscout.com/token/0xa249baf1063af884807c1e1400aef7784836917e,18,148.988,ok,2026-09-06T00:50:19.798280+00:00,APP,335939521,0.000000443496494715785464253251703600541836814728327245546081492448,0.0000443496494715785464253251703600541836814728327245546081492448,320.56,107688771584,EQUITY,https://finance.yahoo.com/quote/APP/,ok,2026-09-06T01:04:15.080366+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
ASML,ASML Holding NV • Robinhood Token,0x47f93d52cbec7c6d2cfc080e154002370a60daea,https://robinhoodchain.blockscout.com/token/0x47f93d52cbec7c6d2cfc080e154002370a60daea,18,130.5971075,ok,2026-09-06T00:50:20.759891+00:00,ASML,384100000,0.000000340008090341057016401978651392866441030981515230408747721947,0.0000340008090341057016401978651392866441030981515230408747721947,1714.88,658685427712,EQUITY,https://finance.yahoo.com/quote/ASML/,ok,2026-09-06T01:04:16.933545+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
ASTS,AST SpaceMobile • Robinhood Token,0x1af6446f07eb1d97c546afc8c9544cbdf3ad5137,https://robinhoodchain.blockscout.com/token/0x1af6446f07eb1d97c546afc8c9544cbdf3ad5137,18,1832.437,ok,2026-09-06T00:50:21.696135+00:00,ASTS,299789305,0.00000611241618509372774322286113575666083218012063505734469079876,0.000611241618509372774322286113575666083218012063505734469079876,62.31,24249026560,EQUITY,https://finance.yahoo.com/quote/ASTS/,ok,2026-09-06T01:04:18.387416+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
AUR,Aurora Innovation • Robinhood Token,0x373c06c4f7bde527d7dae4ba169e42b55e393ced,https://robinhoodchain.blockscout.com/token/0x373c06c4f7bde527d7dae4ba169e42b55e393ced,18,8632.59,ok,2026-09-06T00:50:22.724578+00:00,AUR,2004155268,0.00000430734591168412406657905708730746903388126113989287979657672,0.000430734591168412406657905708730746903388126113989287979657672,6.34,12706344960,EQUITY,https://finance.yahoo.com/quote/AUR/,ok,2026-09-06T01:04:20.067961+00:00,included_equity,"ERC-20 totalSupply (token units) divided by Yahoo Finance shares outstanding, times 100. No currentMultiplier adjustment."
