ticker,official_token_name,rhj_registry_contract_address,token_decimals,erc20_total_supply_token_units,blockscout_contract_url,registry_asset_status,registry_retrieved_at_utc,rpc_status,rpc_checked_at_utc
AAOI,Applied Optoelectronics • Robinhood Token,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,18,665.035,https://robinhoodchain.blockscout.com/token/0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:05.262573+00:00
AAPL,Apple • Robinhood Token,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,18,17631.42312292,https://robinhoodchain.blockscout.com/token/0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:06.284457+00:00
ABCL,Abcellera Biologics • Robinhood Token,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,18,2642.712,https://robinhoodchain.blockscout.com/token/0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:07.228006+00:00
ADBE,Adobe • Robinhood Token,0x232b8ed6377be97813853b0ac104c4cda8378d1b,18,591.281,https://robinhoodchain.blockscout.com/token/0x232b8ed6377be97813853b0ac104c4cda8378d1b,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:08.176565+00:00
AEHR,Aehr • Robinhood Token,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,18,156.148,https://robinhoodchain.blockscout.com/token/0x5f604fba1162193a4388a5dfa56f556f3e133cc2,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:09.129827+00:00
AEIS,Advanced Energy • Robinhood Token,0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,18,104.674,https://robinhoodchain.blockscout.com/token/0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:10.158041+00:00
ALAB,"Astera Labs, Inc. • Robinhood Token",0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,18,142.97,https://robinhoodchain.blockscout.com/token/0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:11.083544+00:00
AMAT,Applied Materials • Robinhood Token,0x36046893810a7e7fce501229d57dc3fc8c8716d0,18,180.025,https://robinhoodchain.blockscout.com/token/0x36046893810a7e7fce501229d57dc3fc8c8716d0,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:12.045868+00:00
AMBA,Ambarella • Robinhood Token,0x99d9d8663545151603863c5acbd6fc3218899009,18,490.651,https://robinhoodchain.blockscout.com/token/0x99d9d8663545151603863c5acbd6fc3218899009,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:12.977788+00:00
AMC,AMC Entertainment • Robinhood Token,0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,18,2895757.579,https://robinhoodchain.blockscout.com/token/0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:13.917303+00:00
AMD,AMD • Robinhood Token,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,18,4058.232,https://robinhoodchain.blockscout.com/token/0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:14.880262+00:00
AMKR,Amkor Technology • Robinhood Token,0xdd356aa38f40a7b7076755ac854b6fbb1f0d305b,18,413.668,https://robinhoodchain.blockscout.com/token/0xdd356aa38f40a7b7076755ac854b6fbb1f0d305b,ASSET_STATUS_ACTIVE,2026-09-06T00:50:05.004891+00:00,ok,2026-09-06T00:50:15.912696+00:00
