ticker,official_token_name,rhj_registry_contract_address,yahoo_ticker,shares_outstanding,underlying_last_price_usd,equity_market_cap_usd,yahoo_quote_type,yahoo_finance_quote_url,yfinance_status,market_data_checked_at_utc
AAOI,Applied Optoelectronics • Robinhood Token,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,AAOI,84906289,105.53,8960160768,EQUITY,https://finance.yahoo.com/quote/AAOI/,ok,2026-09-06T01:03:51.563407+00:00
AAPL,Apple • Robinhood Token,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,AAPL,14594180000,319.97,4669700046848,EQUITY,https://finance.yahoo.com/quote/AAPL/,ok,2026-09-06T01:03:53.333842+00:00
ABCL,Abcellera Biologics • Robinhood Token,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,ABCL,324047363,11.43,3703861504,EQUITY,https://finance.yahoo.com/quote/ABCL/,ok,2026-09-06T01:03:54.800912+00:00
ADBE,Adobe • Robinhood Token,0x232b8ed6377be97813853b0ac104c4cda8378d1b,ADBE,397500000,266.51,105937731584,EQUITY,https://finance.yahoo.com/quote/ADBE/,ok,2026-09-06T01:03:56.363968+00:00
AEHR,Aehr • Robinhood Token,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,AEHR,32620450,86.26,2813840128,EQUITY,https://finance.yahoo.com/quote/AEHR/,ok,2026-09-06T01:03:57.942912+00:00
AEIS,Advanced Energy • Robinhood Token,0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,AEIS,40050442,280.9,11250168832,EQUITY,https://finance.yahoo.com/quote/AEIS/,ok,2026-09-06T01:03:59.495262+00:00
ALAB,"Astera Labs, Inc. • Robinhood Token",0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,ALAB,173485104,310.4,53849776128,EQUITY,https://finance.yahoo.com/quote/ALAB/,ok,2026-09-06T01:04:00.965839+00:00
AMAT,Applied Materials • Robinhood Token,0x36046893810a7e7fce501229d57dc3fc8c8716d0,AMAT,793597443,454.71,360856682496,EQUITY,https://finance.yahoo.com/quote/AMAT/,ok,2026-09-06T01:04:02.494049+00:00
AMBA,Ambarella • Robinhood Token,0x99d9d8663545151603863c5acbd6fc3218899009,AMBA,44140971,62.89,2776025600,EQUITY,https://finance.yahoo.com/quote/AMBA/,ok,2026-09-06T01:04:04.067632+00:00
AMC,AMC Entertainment • Robinhood Token,0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,AMC,892604638,2.65,2365402368,EQUITY,https://finance.yahoo.com/quote/AMC/,ok,2026-09-06T01:04:05.680959+00:00
AMD,AMD • Robinhood Token,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,AMD,1632475042,477.57,779621105664,EQUITY,https://finance.yahoo.com/quote/AMD/,ok,2026-09-06T01:04:07.213865+00:00
AMKR,Amkor Technology • Robinhood Token,0xdd356aa38f40a7b7076755ac854b6fbb1f0d305b,AMKR,248452472,47.77,11868574720,EQUITY,https://finance.yahoo.com/quote/AMKR/,ok,2026-09-06T01:04:08.684861+00:00
AMZN,Amazon • Robinhood Token,0x12f190a9f9d7d37a250758b26824b97ce941bf54,AMZN,10786313572,258.51,2788369891328,EQUITY,https://finance.yahoo.com/quote/AMZN/,ok,2026-09-06T01:04:10.357591+00:00
ANET,Arista • Robinhood Token,0x28babd556b60e53663b8615036479a29c2cdd1bf,ANET,1261224648,193.78,244400128000,EQUITY,https://finance.yahoo.com/quote/ANET/,ok,2026-09-06T01:04:11.825567+00:00
APLD,Applied Digital • Robinhood Token,0xb8dbf92f9741c9ac1c32115e78581f23509916fd,APLD,287883603,26.37,7497091584,EQUITY,https://finance.yahoo.com/quote/APLD/,ok,2026-09-06T01:04:13.329725+00:00
APP,AppLovin • Robinhood Token,0xa249baf1063af884807c1e1400aef7784836917e,APP,335939521,320.56,107688771584,EQUITY,https://finance.yahoo.com/quote/APP/,ok,2026-09-06T01:04:15.080366+00:00
ASML,ASML Holding NV • Robinhood Token,0x47f93d52cbec7c6d2cfc080e154002370a60daea,ASML,384100000,1714.88,658685427712,EQUITY,https://finance.yahoo.com/quote/ASML/,ok,2026-09-06T01:04:16.933545+00:00
ASTS,AST SpaceMobile • Robinhood Token,0x1af6446f07eb1d97c546afc8c9544cbdf3ad5137,ASTS,299789305,62.31,24249026560,EQUITY,https://finance.yahoo.com/quote/ASTS/,ok,2026-09-06T01:04:18.387416+00:00
AUR,Aurora Innovation • Robinhood Token,0x373c06c4f7bde527d7dae4ba169e42b55e393ced,AUR,2004155268,6.34,12706344960,EQUITY,https://finance.yahoo.com/quote/AUR/,ok,2026-09-06T01:04:20.067961+00:00
AVAV,AeroVironment • Robinhood Token,0xf6290b5e7c26502e2da514c31509849718ea76a5,AVAV,50822615,144.65,7351491072,EQUITY,https://finance.yahoo.com/quote/AVAV/,ok,2026-09-06T01:04:21.517220+00:00
AVGO,Broadcom • Robinhood Token,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,AVGO,4757580198,357.895,1702714146816,EQUITY,https://finance.yahoo.com/quote/AVGO/,ok,2026-09-06T01:04:22.979106+00:00
AXON,Axon • Robinhood Token,0xc27dbd474af5181c5a8777903690d8d262d12648,AXON,81237415,515.67,41891696640,EQUITY,https://finance.yahoo.com/quote/AXON/,ok,2026-09-06T01:04:24.551749+00:00
AXTI,AXT • Robinhood Token,0x141eea040c2250eec0314e336975e81f85f6585e,AXTI,65573212,61.64,4041932800,EQUITY,https://finance.yahoo.com/quote/AXTI/,ok,2026-09-06T01:04:26.083704+00:00
BA,Boeing • Robinhood Token,0x4d21483a44bf67a86b77e3da301411880797d452,BA,790370020,212.25,167756038144,EQUITY,https://finance.yahoo.com/quote/BA/,ok,2026-09-06T01:04:27.658314+00:00
BABA,Alibaba • Robinhood Token,0xad25ac6c84d497db898fa1e8387bf6af3532a1c4,BABA,2485623615,113.24,281472008192,EQUITY,https://finance.yahoo.com/quote/BABA/,ok,2026-09-06T01:04:29.120467+00:00
BB,Blackberry • Robinhood Token,0x48e39e56acdba37b09020c0b734a613c9a2f100a,BB,586100431,7.7,4512973312,EQUITY,https://finance.yahoo.com/quote/BB/,ok,2026-09-06T01:04:30.576229+00:00
BE,Bloom Energy • Robinhood Token,0x822cc93ffd030293e9842c30bbd678f530701867,BE,294527346,252.87,74477133824,EQUITY,https://finance.yahoo.com/quote/BE/,ok,2026-09-06T01:04:32.156547+00:00
BND,Vanguard Total Bond Market ETF • Robinhood Token,0x2f62fc9fabb470c690f141c28340ed832bb27020,BND,,71.95,,ETF,https://finance.yahoo.com/quote/BND/,ok,2026-09-06T01:04:33.753642+00:00
